Time [s], Analyzer Name, Decoded Protocol Result
2.514118125000000,SPI,MOSI: '194';  MISO: '0'
2.514183041666667,SPI,MOSI: '0';  MISO: '221'
2.515189458333333,SPI,MOSI: '0';  MISO: '0'
2.515334250000000,SPI,MOSI: '2';  MISO: '2'
2.515423375000000,SPI,MOSI: '148';  MISO: '4'
2.515488291666667,SPI,MOSI: '0';  MISO: '0'
2.515568666666667,SPI,MOSI: '20';  MISO: '0'
2.515714041666667,SPI,MOSI: '18';  MISO: '128'
2.515779708333334,SPI,MOSI: P;  MISO: '8'
2.515845208333333,SPI,MOSI: '0';  MISO: P
2.515982166666667,SPI,MOSI: '1';  MISO: '0'
2.516115208333333,SPI,MOSI: @;  MISO: `
2.516220583333333,SPI,MOSI: '2';  MISO: '0'
2.516285500000000,SPI,MOSI: '0';  MISO: '0'
2.516365250000000,SPI,MOSI: '196';  MISO: '0'
2.516430166666667,SPI,MOSI: '0';  MISO: W
2.516566458333333,SPI,MOSI: '0';  MISO: f
2.516660458333333,SPI,MOSI: '2';  MISO: '0'
2.516725375000000,SPI,MOSI: '0';  MISO: '0'
2.516805250000000,SPI,MOSI: '8';  MISO: '0'
2.516870166666667,SPI,MOSI: '127';  MISO: '4'
2.516950541666667,SPI,MOSI: '148';  MISO: '127'
2.517015458333333,SPI,MOSI: '0';  MISO: '0'
2.517095833333333,SPI,MOSI: '20';  MISO: '0'
2.517297166666667,SPI,MOSI: (;  MISO: '4'
2.517362875000000,SPI,MOSI: '0';  MISO: (
2.517469833333333,SPI,MOSI: |;  MISO: '5'
2.517640125000000,SPI,MOSI: '0';  MISO: '134'
2.517784916666667,SPI,MOSI: '6';  MISO: '0'
2.517874041666667,SPI,MOSI: '154';  MISO: '12'
2.517939166666667,SPI,MOSI: '0';  MISO: '0'
2.518075500000000,SPI,MOSI: @;  MISO: '6'
2.518204291666667,SPI,MOSI: '0';  MISO: '0'
2.518309916666666,SPI,MOSI: '136';  MISO: '0'
2.518374833333333,SPI,MOSI: '0';  MISO: '4'
2.518495500000000,SPI,MOSI: '0';  MISO: '0'
2.518601125000000,SPI,MOSI: '136';  MISO: '0'
2.518666041666667,SPI,MOSI: '0';  MISO: D
2.518786708333333,SPI,MOSI: '0';  MISO: '8'
2.518892333333334,SPI,MOSI: '136';  MISO: '0'
2.518957458333333,SPI,MOSI: '0';  MISO: D
2.519038125000000,SPI,MOSI: '136';  MISO: '0'
2.519103041666667,SPI,MOSI: '0';  MISO: D
2.519183750000000,SPI,MOSI: '136';  MISO: '0'
2.519248666666666,SPI,MOSI: '0';  MISO: D
2.519329333333333,SPI,MOSI: '136';  MISO: '0'
2.519394250000000,SPI,MOSI: '0';  MISO: D
2.519474958333333,SPI,MOSI: '136';  MISO: '0'
2.519539875000000,SPI,MOSI: '0';  MISO: D
2.519620541666667,SPI,MOSI: '136';  MISO: '0'
2.519685458333333,SPI,MOSI: '0';  MISO: D
2.519766166666667,SPI,MOSI: '136';  MISO: '0'
2.519831083333333,SPI,MOSI: '0';  MISO: D
2.519911750000000,SPI,MOSI: '136';  MISO: '0'
2.519976875000000,SPI,MOSI: '0';  MISO: D
2.520057541666667,SPI,MOSI: '136';  MISO: '0'
2.520122458333333,SPI,MOSI: '0';  MISO: D
2.520203166666667,SPI,MOSI: '136';  MISO: '0'
2.520268083333333,SPI,MOSI: '0';  MISO: D
2.520348750000000,SPI,MOSI: '136';  MISO: '0'
2.520413666666667,SPI,MOSI: '0';  MISO: D
2.520494375000000,SPI,MOSI: '136';  MISO: '0'
2.520559291666667,SPI,MOSI: '0';  MISO: D
2.520639958333333,SPI,MOSI: '136';  MISO: '0'
2.520704875000000,SPI,MOSI: '0';  MISO: D
2.520785583333333,SPI,MOSI: '136';  MISO: '0'
2.520850500000000,SPI,MOSI: '0';  MISO: D
2.520931166666667,SPI,MOSI: '136';  MISO: '0'
2.520996291666667,SPI,MOSI: '0';  MISO: D
2.521084958333333,SPI,MOSI: '16';  MISO: '0'
2.521222583333333,SPI,MOSI: '136';  MISO: '0'
2.521287500000000,SPI,MOSI: '0';  MISO: D
2.521376166666667,SPI,MOSI: '16';  MISO: '0'
2.521513791666667,SPI,MOSI: '136';  MISO: '0'
2.521578708333333,SPI,MOSI: '0';  MISO: D
2.521667375000000,SPI,MOSI: '16';  MISO: '0'
2.521805000000000,SPI,MOSI: '136';  MISO: '0'
2.521869916666667,SPI,MOSI: '0';  MISO: D
2.521958583333333,SPI,MOSI: '16';  MISO: '0'
2.522136375000000,SPI,MOSI: '0';  MISO: '8'
2.522249750000000,SPI,MOSI: '136';  MISO: '0'
2.522314666666666,SPI,MOSI: '0';  MISO: D
2.522403333333334,SPI,MOSI: '16';  MISO: '0'
2.522540958333333,SPI,MOSI: '136';  MISO: '0'
2.522605875000000,SPI,MOSI: '0';  MISO: D
2.522726541666667,SPI,MOSI: '0';  MISO: '8'
2.522832166666667,SPI,MOSI: '136';  MISO: '0'
2.522897083333334,SPI,MOSI: '0';  MISO: D
2.523017750000000,SPI,MOSI: '0';  MISO: '8'
2.523163541666666,SPI,MOSI: '0';  MISO: '8'
2.523276916666667,SPI,MOSI: '136';  MISO: '0'
2.523341833333333,SPI,MOSI: '0';  MISO: D
2.523462500000000,SPI,MOSI: '0';  MISO: '8'
2.523568125000000,SPI,MOSI: '136';  MISO: '0'
2.523633041666667,SPI,MOSI: '0';  MISO: D
2.523753708333333,SPI,MOSI: '0';  MISO: '8'
2.523859333333333,SPI,MOSI: '136';  MISO: '0'
2.523924250000000,SPI,MOSI: '0';  MISO: D
2.524044916666667,SPI,MOSI: '0';  MISO: '8'
2.524190708333333,SPI,MOSI: '0';  MISO: '8'
2.524296333333333,SPI,MOSI: '136';  MISO: '0'
2.524361250000000,SPI,MOSI: '0';  MISO: D
2.524481916666667,SPI,MOSI: '0';  MISO: '8'
2.524587541666667,SPI,MOSI: '136';  MISO: '0'
2.524652458333333,SPI,MOSI: '0';  MISO: D
2.524773125000000,SPI,MOSI: '0';  MISO: '8'
2.524878750000000,SPI,MOSI: '136';  MISO: '0'
2.524943666666667,SPI,MOSI: '0';  MISO: D
2.525024375000000,SPI,MOSI: '136';  MISO: '0'
2.525089458333333,SPI,MOSI: '0';  MISO: D
2.525170166666667,SPI,MOSI: '136';  MISO: '0'
2.525235083333333,SPI,MOSI: '0';  MISO: D
2.525315750000000,SPI,MOSI: '136';  MISO: '0'
2.525380666666666,SPI,MOSI: '0';  MISO: D
2.525461375000000,SPI,MOSI: '136';  MISO: '0'
2.525526291666667,SPI,MOSI: '0';  MISO: D
2.525606958333333,SPI,MOSI: '136';  MISO: '0'
2.525671875000000,SPI,MOSI: '0';  MISO: D
2.525752583333333,SPI,MOSI: '136';  MISO: '0'
2.525817500000000,SPI,MOSI: '0';  MISO: D
2.525898166666667,SPI,MOSI: '136';  MISO: '0'
2.525963083333334,SPI,MOSI: '0';  MISO: D
2.526043791666666,SPI,MOSI: '136';  MISO: '0'
2.526109375000000,SPI,MOSI: '0';  MISO: D
2.526190083333333,SPI,MOSI: '136';  MISO: '0'
2.526255000000000,SPI,MOSI: '0';  MISO: D
2.526335666666667,SPI,MOSI: '136';  MISO: '0'
2.526400583333333,SPI,MOSI: '0';  MISO: D
2.526481291666667,SPI,MOSI: '136';  MISO: '0'
2.526546208333333,SPI,MOSI: '0';  MISO: D
2.526626875000000,SPI,MOSI: '136';  MISO: '0'
2.526691791666666,SPI,MOSI: '0';  MISO: D
2.526772500000000,SPI,MOSI: '136';  MISO: '0'
2.526837416666667,SPI,MOSI: '0';  MISO: D
2.526926083333333,SPI,MOSI: '16';  MISO: '0'
2.527063708333333,SPI,MOSI: '136';  MISO: '0'
2.527133333333333,SPI,MOSI: '0';  MISO: D
2.527214000000000,SPI,MOSI: '136';  MISO: '0'
2.527278916666666,SPI,MOSI: '0';  MISO: D
2.527367583333333,SPI,MOSI: '16';  MISO: '0'
2.527505208333333,SPI,MOSI: '136';  MISO: '0'
2.527570125000000,SPI,MOSI: '0';  MISO: D
2.527658791666667,SPI,MOSI: '16';  MISO: '0'
2.527796416666667,SPI,MOSI: '136';  MISO: '0'
2.527861333333334,SPI,MOSI: '0';  MISO: D
2.527950000000000,SPI,MOSI: '16';  MISO: '0'
2.528087625000000,SPI,MOSI: '136';  MISO: '0'
2.528157000000000,SPI,MOSI: '0';  MISO: D
2.528237666666667,SPI,MOSI: '136';  MISO: '0'
2.528302583333333,SPI,MOSI: '0';  MISO: D
2.528423250000000,SPI,MOSI: '0';  MISO: '8'
2.528528875000000,SPI,MOSI: '136';  MISO: '0'
2.528593791666667,SPI,MOSI: '0';  MISO: D
2.528714458333333,SPI,MOSI: '0';  MISO: '8'
2.528820083333333,SPI,MOSI: '136';  MISO: '0'
2.528885000000000,SPI,MOSI: '0';  MISO: D
2.529005666666666,SPI,MOSI: '0';  MISO: '8'
2.529111291666667,SPI,MOSI: '136';  MISO: '0'
2.529180916666667,SPI,MOSI: '0';  MISO: D
2.529261583333333,SPI,MOSI: '136';  MISO: '0'
2.529326500000000,SPI,MOSI: '0';  MISO: D
2.529447166666666,SPI,MOSI: '0';  MISO: '8'
2.529552791666667,SPI,MOSI: '136';  MISO: '0'
2.529617708333333,SPI,MOSI: '0';  MISO: D
2.529738375000000,SPI,MOSI: '0';  MISO: '8'
2.529844000000000,SPI,MOSI: '136';  MISO: '0'
2.529908916666667,SPI,MOSI: '0';  MISO: D
2.530029583333333,SPI,MOSI: '0';  MISO: '8'
2.530135208333333,SPI,MOSI: '136';  MISO: '0'
2.530204833333333,SPI,MOSI: '0';  MISO: D
2.530285500000000,SPI,MOSI: '136';  MISO: '0'
2.530350416666667,SPI,MOSI: '0';  MISO: D
2.530471083333333,SPI,MOSI: '0';  MISO: '8'
2.530576708333333,SPI,MOSI: '136';  MISO: '0'
2.530641625000000,SPI,MOSI: '0';  MISO: D
2.530722333333333,SPI,MOSI: '136';  MISO: '0'
2.530787250000000,SPI,MOSI: '0';  MISO: D
2.530867916666667,SPI,MOSI: '136';  MISO: '0'
2.530932833333333,SPI,MOSI: '0';  MISO: D
2.531013541666667,SPI,MOSI: '136';  MISO: '0'
2.531078458333333,SPI,MOSI: '0';  MISO: D
2.531159125000000,SPI,MOSI: '136';  MISO: '0'
2.531228750000000,SPI,MOSI: '0';  MISO: D
2.531309416666667,SPI,MOSI: '136';  MISO: '0'
2.531374333333333,SPI,MOSI: '0';  MISO: D
2.531455041666667,SPI,MOSI: '136';  MISO: '0'
2.531519958333333,SPI,MOSI: '0';  MISO: D
2.531608375000000,SPI,MOSI: '136';  MISO: '0'
2.531673291666667,SPI,MOSI: '0';  MISO: D
2.531754000000000,SPI,MOSI: '136';  MISO: '0'
2.531818916666666,SPI,MOSI: '0';  MISO: D
2.531899583333333,SPI,MOSI: '136';  MISO: '0'
2.531964500000000,SPI,MOSI: '0';  MISO: D
2.532045208333333,SPI,MOSI: '136';  MISO: '0'
2.532110125000000,SPI,MOSI: '0';  MISO: D
2.532190791666667,SPI,MOSI: '136';  MISO: '0'
2.532255916666667,SPI,MOSI: '0';  MISO: D
2.532336583333333,SPI,MOSI: '136';  MISO: '0'
2.532401500000000,SPI,MOSI: '0';  MISO: D
2.532482208333333,SPI,MOSI: '136';  MISO: '0'
2.532547125000000,SPI,MOSI: '0';  MISO: D
2.532635541666667,SPI,MOSI: '136';  MISO: '0'
2.532700458333333,SPI,MOSI: '0';  MISO: D
2.532781166666667,SPI,MOSI: '136';  MISO: '0'
2.532846083333333,SPI,MOSI: '0';  MISO: D
2.532926750000000,SPI,MOSI: '136';  MISO: '0'
2.532991666666667,SPI,MOSI: '0';  MISO: D
2.533072375000000,SPI,MOSI: '136';  MISO: '0'
2.533137291666667,SPI,MOSI: '0';  MISO: D
2.533217958333333,SPI,MOSI: '136';  MISO: '0'
2.533283083333334,SPI,MOSI: '0';  MISO: D
2.533363750000000,SPI,MOSI: '136';  MISO: '0'
2.533428708333333,SPI,MOSI: '0';  MISO: D
2.533509375000000,SPI,MOSI: '136';  MISO: '0'
2.533574291666667,SPI,MOSI: '0';  MISO: D
2.533662958333333,SPI,MOSI: '16';  MISO: '0'
2.533800583333333,SPI,MOSI: '136';  MISO: '0'
2.533865500000000,SPI,MOSI: '0';  MISO: D
2.533954166666667,SPI,MOSI: '16';  MISO: '0'
2.534091791666667,SPI,MOSI: '136';  MISO: '0'
2.534156708333333,SPI,MOSI: '0';  MISO: D
2.534245375000000,SPI,MOSI: '16';  MISO: '0'
2.534391166666667,SPI,MOSI: '16';  MISO: '0'
2.534528791666667,SPI,MOSI: '136';  MISO: '0'
2.534593708333333,SPI,MOSI: '0';  MISO: D
2.534714375000000,SPI,MOSI: '0';  MISO: '8'
2.534820000000000,SPI,MOSI: '136';  MISO: '0'
2.534884916666666,SPI,MOSI: '0';  MISO: D
2.535005583333333,SPI,MOSI: '0';  MISO: '8'
2.535111208333333,SPI,MOSI: '136';  MISO: '0'
2.535176125000000,SPI,MOSI: '0';  MISO: D
2.535296791666667,SPI,MOSI: '0';  MISO: '8'
2.535404916666667,SPI,MOSI: '136';  MISO: '0'
2.535469833333333,SPI,MOSI: '0';  MISO: D
2.535590500000000,SPI,MOSI: '0';  MISO: '8'
2.535696125000000,SPI,MOSI: '136';  MISO: '0'
2.535761041666666,SPI,MOSI: '0';  MISO: D
2.535881708333333,SPI,MOSI: '0';  MISO: '8'
2.535987333333333,SPI,MOSI: '136';  MISO: '0'
2.536052250000000,SPI,MOSI: '0';  MISO: D
2.536172916666667,SPI,MOSI: '0';  MISO: '8'
2.536278541666667,SPI,MOSI: '136';  MISO: '0'
2.536347916666667,SPI,MOSI: '0';  MISO: D
2.536428583333334,SPI,MOSI: '136';  MISO: '0'
2.536493500000000,SPI,MOSI: '0';  MISO: D
2.536614166666667,SPI,MOSI: '0';  MISO: '8'
2.536719791666667,SPI,MOSI: '136';  MISO: '0'
2.536792458333333,SPI,MOSI: '0';  MISO: D
2.536913125000000,SPI,MOSI: '0';  MISO: '8'
2.537018750000000,SPI,MOSI: '136';  MISO: '0'
2.537083666666667,SPI,MOSI: '0';  MISO: D
2.537204333333333,SPI,MOSI: '0';  MISO: '8'
2.537309958333333,SPI,MOSI: '136';  MISO: '0'
2.537375083333334,SPI,MOSI: '0';  MISO: D
2.537455750000000,SPI,MOSI: '136';  MISO: '0'
2.537520666666667,SPI,MOSI: '0';  MISO: D
2.537601375000000,SPI,MOSI: '136';  MISO: '0'
2.537666291666667,SPI,MOSI: '0';  MISO: D
2.537746958333333,SPI,MOSI: '136';  MISO: '0'
2.537811875000000,SPI,MOSI: '0';  MISO: D
2.537892583333333,SPI,MOSI: '136';  MISO: '0'
2.537957500000000,SPI,MOSI: '0';  MISO: D
2.538038166666666,SPI,MOSI: '136';  MISO: '0'
2.538103083333333,SPI,MOSI: '0';  MISO: D
2.538183791666667,SPI,MOSI: '136';  MISO: '0'
2.538248708333333,SPI,MOSI: '0';  MISO: D
2.538329375000000,SPI,MOSI: '136';  MISO: '0'
2.538395750000000,SPI,MOSI: '0';  MISO: D
2.538476416666667,SPI,MOSI: '136';  MISO: '0'
2.538541333333333,SPI,MOSI: '0';  MISO: D
2.538622041666667,SPI,MOSI: '136';  MISO: '0'
2.538686958333333,SPI,MOSI: '0';  MISO: D
2.538767625000000,SPI,MOSI: '136';  MISO: '0'
2.538832541666667,SPI,MOSI: '0';  MISO: D
2.538913250000000,SPI,MOSI: '136';  MISO: '0'
2.538978166666667,SPI,MOSI: '0';  MISO: D
2.539058833333333,SPI,MOSI: '136';  MISO: '0'
2.539123791666666,SPI,MOSI: '0';  MISO: D
2.539204458333333,SPI,MOSI: '136';  MISO: '0'
2.539269375000000,SPI,MOSI: '0';  MISO: D
2.539358041666667,SPI,MOSI: '16';  MISO: '0'
2.539508083333333,SPI,MOSI: '16';  MISO: '0'
2.539645708333333,SPI,MOSI: '136';  MISO: '0'
2.539710625000000,SPI,MOSI: '0';  MISO: D
2.539791291666667,SPI,MOSI: '136';  MISO: '0'
2.539856250000000,SPI,MOSI: '0';  MISO: D
2.539936916666667,SPI,MOSI: '136';  MISO: '0'
2.540001833333333,SPI,MOSI: '0';  MISO: D
2.540090500000000,SPI,MOSI: '16';  MISO: '0'
2.540228125000000,SPI,MOSI: '136';  MISO: '0'
2.540293041666667,SPI,MOSI: '0';  MISO: D
2.540413708333333,SPI,MOSI: '0';  MISO: '8'
2.540532000000000,SPI,MOSI: '16';  MISO: '0'
2.540669625000000,SPI,MOSI: '136';  MISO: '0'
2.540734541666667,SPI,MOSI: '0';  MISO: D
2.540855208333333,SPI,MOSI: '0';  MISO: '8'
2.541008125000000,SPI,MOSI: '0';  MISO: '8'
2.541113750000000,SPI,MOSI: '136';  MISO: '0'
2.541178666666667,SPI,MOSI: '0';  MISO: D
2.541299333333333,SPI,MOSI: '0';  MISO: '8'
2.541404958333333,SPI,MOSI: '136';  MISO: '0'
2.541470083333333,SPI,MOSI: '0';  MISO: D
2.541550750000000,SPI,MOSI: '136';  MISO: '0'
2.541615666666666,SPI,MOSI: '0';  MISO: D
2.541736333333333,SPI,MOSI: '0';  MISO: '8'
2.541841958333333,SPI,MOSI: '136';  MISO: '0'
2.541906875000000,SPI,MOSI: '0';  MISO: D
2.542027541666667,SPI,MOSI: '0';  MISO: '8'
2.542133166666667,SPI,MOSI: '136';  MISO: '0'
2.542198083333334,SPI,MOSI: '0';  MISO: D
